Pergunta,Criado em,Criado por,Frequência,Resumo da IA,Tags,Última atualização,Última edição,Última edição por
Qual o prazo de abertura de CNPJ?,12 de dezembro de 2024 13:32,Juliana,Média,"O prazo para abertura de empresas varia, sendo em média 60 dias com inscrição estadual, e pode chegar a 90 a 120 dias para empresas com sócio estrangeiro.",Processo operacional,12 de dezembro de 2024 13:34,12 de dezembro de 2024 13:34,Juliana
Para quem é indicado o estudo tributário?,20 de dezembro de 2024 11:40,Juliana,Alta,,Produtos,20 de dezembro de 2024 11:42,20 de dezembro de 2024 11:42,Juliana
Quantos clientes a OSP atende?,23 de dezembro de 2024 09:24,Juliana,Média,,Sobre Nós,23 de dezembro de 2024 09:25,23 de dezembro de 2024 09:25,Juliana
Como fazer a qualificação de um lead inbound?,23 de dezembro de 2024 09:25,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:18,24 de dezembro de 2024 10:18,Juliana
Como funciona o processo de Follow Up?,24 de dezembro de 2024 10:18,Juliana,Baixa,,Follow up,24 de dezembro de 2024 10:19,24 de dezembro de 2024 10:19,Juliana
Cliente fechou a venda e agora?,24 de dezembro de 2024 10:19,Juliana,Média,,Processo Comercial,24 de dezembro de 2024 10:22,24 de dezembro de 2024 10:22,Juliana
Como e  feito o onboarding?,24 de dezembro de 2024 10:22,Juliana,Média,,Processo operacional,24 de dezembro de 2024 10:24,24 de dezembro de 2024 10:24,Juliana
É possível integrar o ERP do cliente ao nosso sistema?,24 de dezembro de 2024 10:25,Juliana,Média,,Processo operacional,24 de dezembro de 2024 10:25,24 de dezembro de 2024 10:25,Juliana
Como criar listas para leads Outbound?,24 de dezembro de 2024 10:25,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:45,24 de dezembro de 2024 10:45,Juliana
Quantos funcionários a OSP tem?,24 de dezembro de 2024 10:45,Juliana,Média,,Sobre Nós,24 de dezembro de 2024 10:47,24 de dezembro de 2024 10:47,Juliana
Qual o tipo de assessoria que a OSP atende?,24 de dezembro de 2024 10:48,Juliana,Baixa,,"Produtos, Sobre Nós",24 de dezembro de 2024 10:54,24 de dezembro de 2024 10:54,Juliana
Como fazer a qualificação de um lead outbound?,24 de dezembro de 2024 10:55,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 10:58,24 de dezembro de 2024 10:58,Juliana
Agendei a reunião e agora?,24 de dezembro de 2024 10:58,Juliana,Baixa,,Processo Comercial,24 de dezembro de 2024 11:01,24 de dezembro de 2024 11:01,Juliana
"O lead chegou o inbound e não é ICP, como fazer?",24 de dezembro de 2024 11:21,Juliana,Média,,Processo Comercial,24 de dezembro de 2024 11:23,24 de dezembro de 2024 11:23,Juliana
"Quero mudar para o Lucro Real, o que preciso ter?",24 de dezembro de 2024 11:25,Juliana,Média,,Produtos,24 de dezembro de 2024 11:28,24 de dezembro de 2024 11:28,Juliana
"O cliente quer fechar uma proposta e pediu desconto, o que fazer?",24 de dezembro de 2024 11:28,Juliana,Alta,,Negociação,24 de dezembro de 2024 11:32,24 de dezembro de 2024 11:32,Juliana
Como são feitos os reports para as multinacionais?,24 de dezembro de 2024 11:40,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:43,24 de dezembro de 2024 11:43,Juliana
Qual o sistema que a OSP usa?,24 de dezembro de 2024 11:48,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:52,24 de dezembro de 2024 11:52,Juliana
"Tenho um ERP com módulo contábil (exemplo Protheus, SAP), vocês consegue integrar?",24 de dezembro de 2024 11:52,Juliana,Média,,Processo operacional,24 de dezembro de 2024 11:53,24 de dezembro de 2024 11:53,Juliana
